Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,Label
accf-cambodia-france.com,0,0,1,3,0,0,0,1,0,1,0,1,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,0,1
mistimbas.com,0,0,0,1,0,0,0,0,0,1,0,0,1
support-confirm-newtransfers.com,0,0,1,1,0,0,0,1,0,1,0,0,1
ckmadae.com,0,0,1,1,1,0,0,0,0,1,0,0,1
xjupu.mjt.lu,0,0,1,5,0,0,0,0,0,1,1,1,1
new-online-banking.com,0,0,0,1,0,0,0,1,0,1,0,0,1
snrsystem.com,0,0,0,1,0,0,0,0,0,1,0,0,1
c-dkassinaletriclientesgv.com,0,0,1,2,0,0,0,1,0,1,0,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,0,1
allertmediawebconnectactivityalertqerwbvq.000webhostapp.com,0,0,1,2,0,0,0,0,0,1,0,0,1
78.143.96.35,0,0,1,3,0,0,0,0,0,1,0,0,1
offal.odoo.com,0,0,0,0,0,0,0,0,0,1,0,0,1
lnkd.in,0,0,0,1,0,0,1,0,0,1,0,0,1
englishstudio.ir,0,0,0,1,0,0,0,0,0,1,1,1,1
europemax.in,0,0,0,0,0,0,0,0,0,1,0,0,1
dev.klinikmatanusantara.com,0,0,1,5,0,0,0,0,0,1,0,0,1
littlefoots.ru,0,0,1,1,0,0,0,0,0,1,0,1,1
amazon-check-co-jp.u5q.top,0,0,0,0,0,0,0,1,0,1,0,0,1
07dd96.htmlcomponentservice.com,0,0,1,1,0,0,0,0,0,1,0,0,1
orangeportail6.wixsite.com,0,0,0,1,0,0,0,0,0,1,0,1,1
3wondersexpeditions.com,0,0,0,1,0,0,0,0,0,1,0,0,1
i-m.mx,0,0,0,2,0,0,0,1,0,1,0,1,1
bit.ly,0,0,0,1,0,0,1,0,0,0,0,0,1
biquyetcongai.com,0,0,1,4,0,0,0,0,0,1,0,0,1
ants-newell.com,0,0,0,0,0,0,0,1,0,1,0,0,1
serv-secured-1.com,0,0,1,2,0,0,0,1,0,1,0,0,1
betasus777.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1
ht.ly,0,0,0,1,0,0,0,0,0,1,0,1,1
pourcontinueridauthenserweuronlineworking.000webhostapp.com,0,0,1,0,0,0,0,0,0,1,0,0,1
orico.co.jp.wjbzxw.com,0,0,0,0,0,0,0,0,0,1,0,1,1
onailsupply.com,0,0,1,5,0,0,0,0,0,1,0,0,1
51.255.64.58,0,0,0,0,0,0,0,0,0,1,0,0,1
gkjx168.com,0,0,1,1,0,0,1,0,0,1,0,1,1
themkdiaries.com,0,0,0,2,0,0,0,0,0,1,0,0,1
storage.cloud.google.com,0,1,1,2,0,0,1,0,0,1,0,0,1
aseovi.com,0,0,1,4,0,0,0,0,0,1,0,0,1
sky-billing-uk.com,0,0,1,3,0,0,0,1,0,1,0,0,1
theironinnparlour.co.uk,0,0,0,2,0,0,0,0,0,1,0,1,1
secure-online-login.com,0,0,0,0,0,0,0,1,0,1,0,0,1
track.simstricksclicks.com,0,0,1,1,0,0,0,0,0,1,0,0,1
mybigfatlistbuilder.com,0,0,0,3,0,0,0,0,0,1,0,0,1
mail.utu.fi,0,0,1,3,0,0,0,0,0,1,0,1,1
krabi.go.th,0,0,1,6,0,0,0,0,0,1,1,1,1
littlefoots.ru:443,0,0,1,1,0,0,0,0,0,1,1,1,1
bhutan1912.net,0,0,1,7,0,0,0,0,0,1,0,0,1
littlefoots.ru:443,0,0,1,1,0,0,0,0,0,1,1,1,1
elfmsssru.com,0,0,1,4,0,0,0,0,0,1,0,0,1
portal.prizegiveaway.net,0,0,1,0,0,0,0,0,0,1,0,0,1
redirect-ca578.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1
bmbhartischool.com,0,0,0,3,0,0,0,0,0,1,0,0,1
hitsem.com,0,0,1,1,0,0,0,0,0,1,0,1,1
indybytes.com,0,0,0,0,0,0,0,0,0,1,0,0,1
royal-mailupdate.com,0,0,1,1,0,0,0,1,0,1,0,0,1
gamefex.com,0,0,0,2,0,0,1,0,0,1,0,0,1
tdirectvire.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0,1
nocontent-tnxsqiil.velocityhub.com,0,0,1,1,0,0,0,1,0,1,0,1,1
redcorpabogados.com,0,0,1,5,0,0,0,0,0,1,0,1,1
kelpiesinc.com,0,0,0,1,0,0,0,0,0,1,0,0,1
zjgsyds.cn,0,0,1,1,1,0,0,0,0,1,0,1,1
intesa-security-online.com,0,0,0,0,0,0,0,1,0,1,0,0,1
user-restore.com,0,0,0,0,0,0,0,1,0,1,0,0,1
report-newpayees.com,0,0,0,1,0,0,0,1,0,1,0,0,1
vodafone.mobile-verify-billing.com,0,0,0,0,0,0,0,1,0,1,0,0,1
sicurezza-intesa-antifrode.com,0,0,0,0,0,0,0,1,0,1,0,0,1
xj4og.mjt.lu,0,0,1,5,0,0,0,0,0,1,1,1,1
lloydbank-secure-deregister-device-gb.com,0,0,0,0,0,0,0,1,0,1,0,0,1
angebote-d15b5db6a5f2.com,0,0,0,2,0,0,0,1,0,1,0,1,1
betasus312.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1
newboi365onlineupdate.com,0,0,0,1,0,0,0,0,0,1,0,0,1
fairauditors.com,0,0,0,1,0,0,0,0,0,1,0,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,0,0,0,1
gremio.net,0,0,0,1,0,0,0,0,0,0,0,0,1
angebote-d15b5db6a5f2.com,0,0,0,2,0,0,0,1,0,1,0,1,1
payee-securityerror.com,0,0,0,1,0,0,0,1,0,1,0,0,1
wester-waelder.ru,0,0,1,4,1,0,0,1,0,1,0,0,1
ydcyugattupdate.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,1
cancel-request-app.com,0,0,0,0,0,0,0,1,0,1,0,0,1
thsyuwshakjnd666iajnxx9.com,0,0,0,0,0,0,0,0,0,1,0,0,1
olx.pl.kassa-payment.net.ru,0,0,0,0,0,0,0,1,0,1,0,1,1
pragmakratos.com,0,0,0,2,0,0,0,0,0,1,0,0,1
mandroque.com,0,0,0,3,0,0,0,0,0,1,0,1,1
cancelpemblockiranfacebook.tk,0,0,0,1,0,0,0,0,0,1,1,1,1
orange514.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1,1
amazon-pp.date,0,0,0,1,0,0,0,1,0,1,0,0,1
heylink.me,0,0,0,1,0,0,0,0,0,0,0,0,1
multichanger.ru,0,0,0,1,0,0,0,0,0,1,0,0,1
reurl.cc,0,0,0,1,0,0,0,0,0,0,0,1,1
support-verify-my-newpayments.com,0,0,0,0,0,0,0,1,0,1,0,0,1
dev.klinikmatanusantara.com,0,0,1,5,0,0,0,0,0,1,0,0,1
xdextest2.000webhostapp.com,0,0,0,0,0,0,0,0,0,1,0,0,1
secure273.inmotionhosting.com,0,0,1,5,0,0,0,0,0,1,0,0,1
wp1.serviceorange912.pkzyp.spectrum.myjino.ru,0,0,1,3,0,0,0,0,0,1,0,0,1
dev.klinikmatanusantara.com,0,0,1,5,0,0,0,0,0,1,0,0,1
rulesfb-5s5rgw7c2epbu.webport.ca,0,0,1,1,0,0,0,1,0,1,0,1,1
linklist.bio,0,0,0,0,0,0,0,0,0,1,1,1,1
sanjheeventerprises.com,0,0,1,4,0,0,0,0,0,1,0,0,1
applepaymentpartner.com,0,0,0,2,0,0,0,0,0,1,0,1,1
mail.odhikar.com,0,1,1,3,0,0,0,0,0,1,0,0,1
keypointtraining-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1,1
jp.apresys.com,0,1,1,7,0,0,0,0,0,1,0,1,1
togive.ru,0,0,0,0,0,0,0,0,0,1,0,0,1
xhlhs.mjt.lu,0,0,1,5,0,0,0,0,0,1,1,1,1
paypalvsgooglecheckout.com,0,0,0,1,0,0,1,0,0,1,0,0,1
vvipidm.com,0,0,0,0,0,0,0,0,0,1,0,0,1
creativecombat.com,0,1,1,4,0,0,1,0,0,1,0,0,1
htiitrevcm.000webhostapp.com,0,0,1,3,0,0,0,0,0,1,0,0,1
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,1,1,1,1,1
prestige-nation.com,0,0,1,3,0,0,0,1,0,1,0,1,1
outlook365ar.engagebay.com,0,0,1,2,0,0,0,0,0,1,0,0,1
soo.gd,0,0,0,1,0,0,0,0,0,1,1,1,1
creativecombat.com,0,0,1,4,0,0,1,0,0,1,0,0,1
ippa.or.id,0,0,0,5,0,0,0,0,0,1,0,1,1
s.id,0,0,0,1,0,0,0,0,0,0,0,1,1
attemailserviceupdate.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,1
check-newpayee-halfax.com,0,0,0,0,0,0,1,1,0,1,0,0,1
betasusorjinal1.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1
surfeventsco.com,0,0,0,1,0,0,0,0,0,1,0,0,1
pembatallan-pemblockirran.ga,0,0,0,1,0,0,0,1,0,1,1,1,1
littlefoots.ru,0,0,1,1,0,0,0,0,0,1,0,1,1
orange-pro-wix-2021.yolasite.com,0,0,0,0,0,0,0,1,1,1,1,1,1
habitatsiliconvalley.org,0,0,0,2,0,0,0,0,0,1,0,0,1
support.paypal.com.kulturabgru.kultura4.cp.regruhosting.ru,0,0,1,1,0,0,0,0,0,1,0,0,1
clouddoc-authorize.firebaseapp.com,0,0,0,2,0,0,0,1,1,1,1,1,1
hadrobojix.cloudaccess.host,0,0,0,0,0,0,0,0,0,1,1,1,1
vanpeteghemhout.be,0,0,1,3,0,0,0,0,0,1,1,1,1
coarse-grained-owne.000webhostapp.com,0,0,0,0,0,0,0,1,0,1,0,0,1
mitrasolusiseragam.com,0,0,1,3,0,0,0,0,0,1,0,1,1
rvtvstream.com,0,0,1,3,0,0,0,0,0,1,0,0,1
ca-indeed.net,0,0,1,2,0,0,0,1,0,1,0,0,1
mwnkvmmssxjennjyhedpfedyxf-dot-gle39404049.rj.r.appspot.com,0,0,1,0,0,0,1,1,1,1,1,1,1
plog.com.br,0,0,0,1,0,0,0,0,0,1,1,1,1
vevobahiss1.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1
boggze.com,0,0,0,0,0,0,0,0,0,1,0,1,1
cloud1.directnutrisciences.com,0,0,1,4,0,0,0,0,0,1,0,0,1
agenciadigitalsur.com.ar,0,1,1,2,0,0,0,0,0,1,1,0,1
creative-console.com,0,0,1,2,0,0,0,1,0,1,0,0,1
e-bay-freelistings-offers-today-2991832.saccgpi.com,0,0,1,0,0,0,0,1,0,1,0,1,1
u3703558.ct.sendgrid.net,0,0,1,2,0,0,0,0,0,1,0,1,1
vzrew.creatorlink.net,0,0,0,0,0,0,0,0,0,1,0,0,1
ww17.casas-cb-compras.com,0,0,0,1,0,0,0,1,0,1,0,1,1
eliotecae-my.sharepoint.com,0,0,1,7,0,0,1,1,0,1,0,1,1
13.66.28.137,0,0,1,2,0,0,0,0,0,1,1,1,1
equalchances.org,0,0,0,2,0,0,0,0,0,1,0,0,1
13.66.28.137,0,0,0,1,0,0,0,0,0,1,1,1,1
attstorage101.weebly.com,0,0,0,0,0,0,0,0,0,1,0,1,1
mavibets.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1
odhikar.com,0,0,0,3,0,0,0,0,0,1,0,0,1
hasmob.com,0,0,0,3,0,0,0,0,0,1,0,0,1
staplie.000webhostapp.com,0,0,0,2,0,0,0,0,0,1,0,0,1
ww17.casas-cb-compras.com,0,0,0,3,0,0,0,1,0,1,0,1,1
o2-updatebilling-via.com,0,0,0,0,0,0,0,1,0,1,0,0,1
claim-mlbb57.hicam.net,0,0,0,2,0,0,0,1,0,1,0,0,1
bit.do,0,1,1,1,0,0,1,0,0,0,0,0,1
dukhovnist.in.ua,0,0,0,2,0,0,0,0,0,1,1,1,1
igricekonzole.com,0,0,0,1,0,0,0,0,0,1,0,0,1
syriagaleri.com,0,0,0,4,0,0,0,0,0,1,0,1,1
mymentalhealthday.org,0,0,1,6,0,0,0,0,0,1,0,0,1
servernuovaintesa.com,0,0,0,0,0,0,0,0,0,1,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0,1
doctricant.com,0,0,1,2,0,0,1,0,0,1,0,1,1
meeting-23900123090123.bitbucket.io,0,0,0,0,0,0,0,1,0,1,0,0,1
reabramosmexico.getforge.io,0,0,0,0,0,0,0,0,0,1,0,1,1
uk-infonet5.work,0,0,1,4,0,0,0,1,0,1,1,1,1
azurefetcherstorage.blob.core.windows.net,0,0,1,2,0,0,0,0,0,1,0,1,1
aomuabinhtien.com,0,0,1,4,0,0,0,0,0,1,0,0,1
baqala.me,0,0,0,2,0,0,0,0,0,1,0,0,1
