Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End
pinnate-marble-gerbil.glitch.me,0,0,0,0,0,0,0,1,0,1,0,0
alamdi.net,0,0,0,1,0,0,0,0,0,1,0,1
dba.dk.erhverv-annonce-315732.art,0,0,0,0,0,0,0,1,0,1,0,0
hgn2t.app.link,0,0,0,1,0,0,0,0,0,1,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0
dongsuh.net,0,0,1,2,0,0,0,0,0,1,0,0
norcaltc-my.sharepoint.com,0,0,1,7,0,0,1,1,0,1,0,1
forms.office.com,0,0,1,2,0,0,0,0,0,1,0,1
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
sportsmedicsltd.com,0,0,0,1,0,0,0,0,0,1,0,0
23.101.183.192,0,0,0,2,0,0,0,0,0,1,1,1
support.scheme.extension.ssl.encryption-6159368de39251d7a-login.id.security.trackid.piwikb7c1867dd7ba9c57.7047a43d4f6c1a8dd151648d610f24f8.ufcgym.pk,0,0,1,7,0,0,0,1,0,1,1,1
flightarabia.com,0,0,1,3,0,0,0,0,0,1,0,1
fundacionayudate.org.ve,0,0,0,2,0,0,0,0,0,1,1,1
atefnet.com,0,0,1,7,0,0,1,0,0,1,0,1
clearstageconsulting.com,0,0,0,2,0,0,0,0,0,1,0,1
bonds-oldschools-runescapes.com,0,0,1,2,0,0,0,1,0,1,0,0
dota-hook.com,0,0,0,0,0,0,0,1,0,1,0,1
cpanel.telephone-sfr.com,0,0,0,0,0,0,0,1,0,1,0,0
email.2020cycling.cc,0,0,0,0,0,0,0,0,0,1,0,0
itaucartoescomvoce.azurewebsites.net,0,0,1,1,0,0,0,0,1,1,1,1
uk-deliveries.support,0,0,1,2,0,0,0,1,0,1,0,0
epr-media.com,0,0,1,6,0,0,0,1,0,1,0,0
newsbrigade.com,0,0,1,10,0,0,0,0,0,1,0,0
onedrive.live.com,0,0,1,1,0,0,0,0,0,1,0,0
energygain.co.uk,0,0,0,1,0,0,0,0,0,1,0,0
floorsdirectltd.co.uk,0,0,0,2,0,0,0,0,0,1,0,0
blakeinsurancegroup.com,0,0,1,3,0,0,0,0,0,1,0,0
13.66.28.137,0,0,1,2,1,0,0,0,0,1,1,1
pramitmedicalstore.com,0,0,0,3,0,0,0,0,0,1,0,0
ingaveiculos.creatorlink.net,0,0,0,0,0,0,0,0,0,1,0,0
stupendous-fuchsia-bongo.glitch.me,0,0,0,0,0,0,0,1,0,1,0,0
grupo-ing.giorgianavarra.it,0,0,1,3,0,0,0,1,0,1,0,1
backend-htz.letundra.com,0,0,0,0,0,0,0,1,0,1,0,0
pkk.depok.go.id,0,0,0,2,0,0,0,0,0,1,0,0
netservice-upd.tumblr.com,0,0,0,0,0,0,0,1,0,1,0,0
empirejewelers.us,0,0,1,2,0,0,0,0,0,1,0,0
bankcheckingsavings.com,0,0,0,1,0,0,0,0,0,1,0,0
my-tee-shirt.com,0,0,0,1,0,0,1,1,0,1,0,0
turboflightpros.com,0,0,0,0,0,0,0,0,0,1,0,1
slack-redir.net,0,0,1,1,1,0,1,1,0,1,0,0
temporaryserver13.com,0,0,1,3,0,0,0,0,0,1,0,1
ledparade.nl,0,0,0,1,0,0,0,0,0,1,1,1
davivienda-acceso-personal.com,0,0,0,0,0,0,0,1,0,1,0,0
indiaoutdooradvertising.com,0,0,0,2,0,0,0,0,0,1,0,0
site9548676.92.webydo.com,0,0,0,0,0,0,0,0,0,1,0,0
colloidalsilverone.com,0,0,0,2,0,0,0,0,0,1,0,1
absab.webnode.com,0,0,0,0,0,0,0,0,0,1,0,0
nwolb-newdevice.com,0,0,0,1,0,0,0,1,0,1,0,0
plytecfi-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
xrxh1.mjt.lu,0,0,1,5,0,0,0,0,0,1,1,1
eliotecae-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
pehchaanlivefoundation.org,0,0,1,3,0,0,0,0,0,1,0,1
nastroadesivo.org,0,0,0,1,0,0,0,0,0,1,0,0
aruba-iv.blogspot.com,0,0,0,0,0,0,1,1,1,1,1,1
appidorg.yolasite.com,0,0,0,0,0,0,0,0,1,1,1,1
redlinerecruitment353-my.sharepoint.com:443,0,0,1,5,0,0,1,1,0,1,1,1
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
departmentrecoveridenpendtsupport.my.id,0,0,1,1,0,0,0,0,0,1,0,0
occmedconnect.com,0,1,1,3,0,0,1,0,0,1,0,0
cefwebchat.chatbsservices.com.br,0,0,0,1,0,0,0,0,0,1,1,0
surveyheart.com,0,0,1,2,0,0,1,0,0,0,0,0
connectonline-reload.co.uk,0,0,0,0,0,0,0,1,0,1,0,0
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
sec-login-device.com,0,0,0,0,0,0,0,1,0,1,0,0
612050612050612050612050612050612050-dot-onk89909.wn.r.appspot.com,0,0,1,0,0,0,1,1,1,1,1,1
dba.dk.erhverv-annonce-25476458.shop,0,0,0,0,0,0,0,1,0,1,0,0
25tnr.app.link,0,0,0,1,0,0,0,0,0,1,0,0
hutoknepper.de,0,0,0,1,0,0,0,0,0,1,1,1
clouddoc-authorize.firebaseapp.com,0,0,0,1,0,0,0,1,1,1,1,1
eesecure-updates.com,0,0,0,0,0,0,0,1,0,1,0,0
cutt.us,0,0,0,1,0,0,1,0,0,0,0,0
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0
mmprsatx.com,0,0,0,5,0,0,1,0,0,1,0,0
dhlgpi.com,0,0,0,1,0,0,0,0,0,1,0,0
hosting2042037.online.pro,0,0,0,0,0,0,0,0,0,1,0,0
michelleconnollylpc.com,0,0,1,4,0,0,0,0,0,1,0,1
vieuxshack.com,0,0,1,4,0,0,0,0,0,1,0,0
onlinesecureadd.link,0,0,0,1,0,0,1,0,0,1,0,0
krabi.go.th,0,0,1,6,0,0,0,0,0,1,1,1
alquileres.com.py,0,0,1,3,0,0,0,0,0,1,1,1
whatsap-group.dubya.info,0,0,0,0,0,0,0,1,0,1,0,1
ebay.hvacmania.com,0,0,1,3,0,0,0,0,0,1,0,1
attnet4.aidaform.com,0,0,0,1,0,0,0,0,0,1,0,0
sct-pst.ml,0,0,1,3,0,0,0,1,0,1,1,1
impotspublicservice.com,0,0,1,1,0,0,0,0,0,1,0,1
grms.cit.net,0,0,0,2,0,0,0,0,0,1,0,0
authorised-registered-device.com,0,0,1,2,0,0,0,1,0,1,0,0
whatsapps.lflinkup.com,0,0,0,0,0,0,0,0,0,1,0,0
pubgmobile.com.xxucpubg.com,0,0,0,1,0,0,0,0,0,1,0,1
rakutoen-p3zk.cc,0,0,0,0,0,0,0,1,0,1,0,0
casaverdeatelie.com,0,0,0,0,0,0,0,0,0,1,0,1
weightlosseasyguide.com,0,0,1,7,0,0,0,0,0,1,0,0
onlinenewpayee-check.com,0,0,0,1,0,0,0,1,0,1,0,0
ebay.portlibertecontractor.com,0,0,1,3,0,0,0,0,0,1,0,0
adsbusinessaccountcreditscoupons.com,0,0,0,0,0,0,0,0,0,1,0,0
myo2-billing-error28.com,0,0,1,2,0,0,0,1,0,1,0,0
aiscbe.edu.in,0,0,1,1,0,0,0,0,0,1,0,0
suspfacebookcom-66071638.nightaway.ca,0,0,1,1,0,0,0,1,0,1,0,0
remontada.net,0,0,1,1,0,0,0,0,0,1,0,1
onedrive.live.com,0,0,1,1,0,0,0,0,0,1,0,0
sgozq-alternate.app.link,0,0,0,0,0,0,0,1,0,1,0,0
arisebuildscom-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,0,1
tighi.creatorlink.net,0,0,0,0,0,0,0,0,0,1,0,0
